Fecha,Anio,Mes,Linea,Afluencia
01/12/2009,2009,12,Linea 1,335457
02/12/2009,2009,12,Linea 1,335202
03/12/2009,2009,12,Linea 1,335526
04/12/2009,2009,12,Linea 1,350021
05/12/2009,2009,12,Linea 1,211639
12/12/2009,2009,12,Linea 1,181975
13/12/2009,2009,12,Linea 1,120013
20/12/2009,2009,12,Linea 1,107287
23/12/2009,2009,12,Linea 1,257288
27/12/2009,2009,12,Linea 1,93128
01/01/2010,2010,1,Linea 1,54822
02/01/2010,2010,1,Linea 1,113225
06/01/2010,2010,1,Linea 1,250035
07/01/2010,2010,1,Linea 1,280715
10/01/2010,2010,1,Linea 1,85433
12/01/2010,2010,1,Linea 1,300503
15/01/2010,2010,1,Linea 1,329689
16/01/2010,2010,1,Linea 1,168569
19/01/2010,2010,1,Linea 1,314256
23/01/2010,2010,1,Linea 1,186402
25/01/2010,2010,1,Linea 1,314388
27/01/2010,2010,1,Linea 1,320743
31/01/2010,2010,1,Linea 1,101269
01/02/2010,2010,2,Linea 1,102120
02/02/2010,2010,2,Linea 1,326460
03/02/2010,2010,2,Linea 1,318166
08/02/2010,2010,2,Linea 1,322979
11/02/2010,2010,2,Linea 1,334208
19/02/2010,2010,2,Linea 1,349532
23/02/2010,2010,2,Linea 1,331047
24/02/2010,2010,2,Linea 1,336368
25/02/2010,2010,2,Linea 1,338626
26/02/2010,2010,2,Linea 1,359708
28/02/2010,2010,2,Linea 1,102671
01/03/2010,2010,3,Linea 1,336464
02/03/2010,2010,3,Linea 1,342339
05/03/2010,2010,3,Linea 1,357176
08/03/2010,2010,3,Linea 1,322387
09/03/2010,2010,3,Linea 1,335417
16/03/2010,2010,3,Linea 1,333065
19/03/2010,2010,3,Linea 1,346596
21/03/2010,2010,3,Linea 1,102685
22/03/2010,2010,3,Linea 1,322759
23/03/2010,2010,3,Linea 1,332461
24/03/2010,2010,3,Linea 1,331715
27/03/2010,2010,3,Linea 1,179559
28/03/2010,2010,3,Linea 1,95252
29/03/2010,2010,3,Linea 1,268240
01/04/2010,2010,4,Linea 1,118304
13/04/2010,2010,4,Linea 1,323705
19/04/2010,2010,4,Linea 1,319589
21/04/2010,2010,4,Linea 1,338726
03/05/2010,2010,5,Linea 1,304190
05/05/2010,2010,5,Linea 1,269461
07/05/2010,2010,5,Linea 1,338763
15/05/2010,2010,5,Linea 1,182073
16/05/2010,2010,5,Linea 1,91813
25/05/2010,2010,5,Linea 1,324083
30/05/2010,2010,5,Linea 1,100582
04/06/2010,2010,6,Linea 1,349575
08/06/2010,2010,6,Linea 1,321272
11/06/2010,2010,6,Linea 1,288212
12/06/2010,2010,6,Linea 1,170152
13/06/2010,2010,6,Linea 1,91052
15/06/2010,2010,6,Linea 1,326189
16/06/2010,2010,6,Linea 1,318096
25/06/2010,2010,6,Linea 1,329362
26/06/2010,2010,6,Linea 1,183902
27/06/2010,2010,6,Linea 1,93392
01/07/2010,2010,7,Linea 1,329917
05/07/2010,2010,7,Linea 1,306439
07/07/2010,2010,7,Linea 1,305211
13/07/2010,2010,7,Linea 1,309825
16/07/2010,2010,7,Linea 1,325526
21/07/2010,2010,7,Linea 1,304967
23/07/2010,2010,7,Linea 1,307571
27/07/2010,2010,7,Linea 1,312002
31/07/2010,2010,7,Linea 1,185878
02/08/2010,2010,8,Linea 1,326008
03/08/2010,2010,8,Linea 1,327130
07/08/2010,2010,8,Linea 1,177405
16/08/2010,2010,8,Linea 1,332200
17/08/2010,2010,8,Linea 1,338590
19/08/2010,2010,8,Linea 1,344677
24/08/2010,2010,8,Linea 1,340134
27/08/2010,2010,8,Linea 1,360378
02/09/2010,2010,9,Linea 1,355348
03/09/2010,2010,9,Linea 1,375057
05/09/2010,2010,9,Linea 1,88960
06/09/2010,2010,9,Linea 1,338324
08/09/2010,2010,9,Linea 1,353941
10/09/2010,2010,9,Linea 1,376377
11/09/2010,2010,9,Linea 1,194676
16/09/2010,2010,9,Linea 1,88148
17/09/2010,2010,9,Linea 1,190192
18/09/2010,2010,9,Linea 1,160683
23/09/2010,2010,9,Linea 1,354542
28/09/2010,2010,9,Linea 1,356906
30/09/2010,2010,9,Linea 1,368420
01/10/2010,2010,10,Linea 1,379352
04/10/2010,2010,10,Linea 1,347143
06/10/2010,2010,10,Linea 1,358658
07/10/2010,2010,10,Linea 1,360569
09/10/2010,2010,10,Linea 1,222837
20/10/2010,2010,10,Linea 1,361791
26/10/2010,2010,10,Linea 1,358153
27/10/2010,2010,10,Linea 1,361921
31/10/2010,2010,10,Linea 1,102307
04/11/2010,2010,11,Linea 1,365694
05/11/2010,2010,11,Linea 1,383448
06/11/2010,2010,11,Linea 1,202472
09/11/2010,2010,11,Linea 1,357486
10/11/2010,2010,11,Linea 1,365376
12/11/2010,2010,11,Linea 1,388161
15/11/2010,2010,11,Linea 1,127780
19/11/2010,2010,11,Linea 1,390794
20/11/2010,2010,11,Linea 1,217517
21/11/2010,2010,11,Linea 1,117463
25/11/2010,2010,11,Linea 1,374471
26/11/2010,2010,11,Linea 1,381491
01/12/2010,2010,12,Linea 1,366633
02/12/2010,2010,12,Linea 1,368256
05/12/2010,2010,12,Linea 1,113557
07/12/2010,2010,12,Linea 1,351127
09/12/2010,2010,12,Linea 1,355086
10/12/2010,2010,12,Linea 1,374981
13/12/2010,2010,12,Linea 1,329681
14/12/2010,2010,12,Linea 1,351236
15/12/2010,2010,12,Linea 1,358684
